YEAR,CASHFLOW,DISCOUNTED_CASHFLOW,CUMULATIVE_CASHFLOW
0,-2028.9,-2028.9,-2028.9
1,287.70914934500007,257.962525121417,-1770.937474878583
2,287.70914934500007,231.29144317625483,-1539.6460317023282
3,287.70914934500007,207.37791918177072,-1332.2681125205575
4,287.70914934500007,185.93684562462937,-1146.3312668959281
5,287.70914934500007,166.71259262917854,-979.6186742667496
6,287.70914934500007,149.47596022604,-830.1427140407096
7,287.70914934500007,134.02144572962592,-696.1212683110837
8,287.70914934500007,120.1647936450585,-575.9564746660252
9,287.70914934500007,107.74079889340854,-468.2156757726167
10,287.70914934500007,96.6013371643422,-371.61433860827447
11,287.70914934500007,86.61359891317673,-285.00073969509776
12,287.70914934500007,77.65850594728393,-207.34223374781385
13,287.70914934500007,69.62929172369083,-137.71294202412304
14,287.70914934500007,62.43022843156313,-75.2827135925599
15,287.70914934500007,55.97548568329108,-19.307227909268818
16,287.70914934500007,50.18810720699255,30.88087929772373
17,287.70914934500007,44.99909334011305,75.87997263783677
18,287.70914934500007,40.346578385209185,116.22655102304596
19,287.70914934500007,36.1750930199906,152.40164404303655
20,287.70914934500007,32.434902967749835,184.83654701078638
21,287.70914934500007,29.081416043519,213.91796305430537
22,287.70914934500007,26.074650506497772,239.99261356080314
23,287.70914934500007,23.37875838021726,263.3713719410204
24,287.70914934500007,20.961598057253926,284.33296999827434
25,287.70914934500007,18.794351092899582,303.12732109117394
26,287.70914934500007,16.851178619033703,319.97849971020764
27,287.70914934500007,15.108913281813608,335.08741299202126
28,287.70914934500007,13.546783030328706,348.63419602234995
29,287.70914934500007,12.146163463106024,360.78035948545596
30,287.70914934500007,10.890355779833582,371.6707152652895
31,287.70914934500007,9.7643876909447,381.43510295623423
32,287.70914934500007,8.754834911420069,390.1899378676543
33,287.70914934500007,7.849661110578463,398.03959897823273
34,287.70914934500007,7.03807440966735,405.07767338790006
35,287.70914934500007,6.310398716354786,411.38807210425483
36,287.70914934500007,5.657958362116017,417.04603046637084
37,287.70914934500007,5.0729746671111515,422.119005133482
38,287.70914934500007,4.548473199355051,426.66747833283705
39,287.70914934500007,4.078200622482602,430.74567895531965
40,555.0991493450001,7.05486035907656,437.8005393143962
