,R_AdjustFact,E_AdjustFact,FCI_AdjustFact,NPV,IRR
0,0.6,0.4,0.9,-64.91,0.1111
1,0.6,0.4,1.0,-223.47,0.1019
2,0.6,0.4,1.1,-382.03,0.0939
3,0.6,0.4,1.2,-540.6,0.087
4,0.6,0.5,0.9,-217.85,0.1011
5,0.6,0.5,1.0,-376.42,0.0925
6,0.6,0.5,1.1,-534.98,0.0852
7,0.6,0.5,1.2,-693.55,0.0787
8,0.6,0.6,0.9,-370.8,0.0909
9,0.6,0.6,1.0,-529.37,0.083
10,0.6,0.6,1.1,-687.93,0.0762
11,0.6,0.6,1.2,-846.5,0.0702
12,0.6,0.7,0.9,-523.75,0.0805
13,0.6,0.7,1.0,-682.31,0.0733
14,0.6,0.7,1.1,-840.88,0.0671
15,0.6,0.7,1.2,-999.44,0.0616
16,0.6,0.7999999999999999,0.9,-676.7,0.0699
17,0.6,0.7999999999999999,1.0,-835.26,0.0634
18,0.6,0.7999999999999999,1.1,-993.83,0.0576
19,0.6,0.7999999999999999,1.2,-1152.39,0.0526
20,0.6,0.8999999999999999,0.9,-829.65,0.059
21,0.6,0.8999999999999999,1.0,-988.21,0.053
22,0.6,0.8999999999999999,1.1,-1146.78,0.0479
23,0.6,0.8999999999999999,1.2,-1305.34,0.0433
24,0.6,0.9999999999999999,0.9,-982.6,0.0475
25,0.6,0.9999999999999999,1.0,-1141.16,0.0422
26,0.6,0.9999999999999999,1.1,-1299.72,0.0376
27,0.6,0.9999999999999999,1.2,-1458.29,0.0334
28,0.6,1.0999999999999999,0.9,-1135.54,0.0355
29,0.6,1.0999999999999999,1.0,-1294.11,0.0308
30,0.6,1.0999999999999999,1.1,-1452.67,0.0267
31,0.6,1.0999999999999999,1.2,-1611.24,0.023
32,0.6,1.1999999999999997,0.9,-1288.49,0.0225
33,0.6,1.1999999999999997,1.0,-1447.06,0.0184
34,0.6,1.1999999999999997,1.1,-1605.62,0.0148
35,0.6,1.1999999999999997,1.2,-1764.19,0.0116
36,0.6,1.2999999999999998,0.9,-1441.44,0.0081
37,0.6,1.2999999999999998,1.0,-1600.0,0.0047
38,0.6,1.2999999999999998,1.1,-1758.57,0.0017
39,0.6,1.2999999999999998,1.2,-1917.13,-0.0011
40,0.6,1.4,0.9,-1594.39,-0.0083
41,0.6,1.4,1.0,-1752.95,-0.011
42,0.6,1.4,1.1,-1911.52,-0.0135
43,0.6,1.4,1.2,-2070.08,-0.0157
44,0.7,0.4,0.9,329.83,0.1365
45,0.7,0.4,1.0,171.27,0.1255
46,0.7,0.4,1.1,12.71,0.116
47,0.7,0.4,1.2,-145.86,0.1078
48,0.7,0.5,0.9,176.89,0.1267
49,0.7,0.5,1.0,18.32,0.1164
50,0.7,0.5,1.1,-140.24,0.1075
51,0.7,0.5,1.2,-298.81,0.0998
52,0.7,0.6,0.9,23.94,0.1169
53,0.7,0.6,1.0,-134.63,0.1072
54,0.7,0.6,1.1,-293.19,0.099
55,0.7,0.6,1.2,-451.76,0.0917
56,0.7,0.7,0.9,-129.01,0.1069
57,0.7,0.7,1.0,-287.57,0.098
58,0.7,0.7,1.1,-446.14,0.0903
59,0.7,0.7,1.2,-604.7,0.0835
60,0.7,0.7999999999999999,0.9,-281.96,0.0968
61,0.7,0.7999999999999999,1.0,-440.52,0.0886
62,0.7,0.7999999999999999,1.1,-599.09,0.0814
63,0.7,0.7999999999999999,1.2,-757.65,0.0752
64,0.7,0.8999999999999999,0.9,-434.91,0.0866
65,0.7,0.8999999999999999,1.0,-593.47,0.079
66,0.7,0.8999999999999999,1.1,-752.04,0.0724
67,0.7,0.8999999999999999,1.2,-910.6,0.0666
68,0.7,0.9999999999999999,0.9,-587.86,0.0761
69,0.7,0.9999999999999999,1.0,-746.42,0.0692
70,0.7,0.9999999999999999,1.1,-904.98,0.0632
71,0.7,0.9999999999999999,1.2,-1063.55,0.0578
72,0.7,1.0999999999999999,0.9,-740.8,0.0654
73,0.7,1.0999999999999999,1.0,-899.37,0.0591
74,0.7,1.0999999999999999,1.1,-1057.93,0.0536
75,0.7,1.0999999999999999,1.2,-1216.5,0.0487
76,0.7,1.1999999999999997,0.9,-893.75,0.0542
77,0.7,1.1999999999999997,1.0,-1052.32,0.0486
78,0.7,1.1999999999999997,1.1,-1210.88,0.0436
79,0.7,1.1999999999999997,1.2,-1369.45,0.0392
80,0.7,1.2999999999999998,0.9,-1046.7,0.0426
81,0.7,1.2999999999999998,1.0,-1205.26,0.0375
82,0.7,1.2999999999999998,1.1,-1363.83,0.0331
83,0.7,1.2999999999999998,1.2,-1522.39,0.0291
84,0.7,1.4,0.9,-1199.65,0.0302
85,0.7,1.4,1.0,-1358.21,0.0257
86,0.7,1.4,1.1,-1516.78,0.0218
87,0.7,1.4,1.2,-1675.34,0.0183
88,0.7999999999999999,0.4,0.9,724.57,0.1616
89,0.7999999999999999,0.4,1.0,566.01,0.1487
90,0.7999999999999999,0.4,1.1,407.45,0.1376
91,0.7999999999999999,0.4,1.2,248.88,0.128
92,0.7999999999999999,0.5,0.9,571.63,0.1519
93,0.7999999999999999,0.5,1.0,413.06,0.1397
94,0.7999999999999999,0.5,1.1,254.5,0.1293
95,0.7999999999999999,0.5,1.2,95.93,0.1202
96,0.7999999999999999,0.6,0.9,418.68,0.1422
97,0.7999999999999999,0.6,1.0,260.11,0.1307
98,0.7999999999999999,0.6,1.1,101.55,0.1209
99,0.7999999999999999,0.6,1.2,-57.02,0.1124
100,0.7999999999999999,0.7,0.9,265.73,0.1324
101,0.7999999999999999,0.7,1.0,107.17,0.1217
102,0.7999999999999999,0.7,1.1,-51.4,0.1125
103,0.7999999999999999,0.7,1.2,-209.96,0.1044
104,0.7999999999999999,0.7999999999999999,0.9,112.78,0.1226
105,0.7999999999999999,0.7999999999999999,1.0,-45.78,0.1126
106,0.7999999999999999,0.7999999999999999,1.1,-204.35,0.1039
107,0.7999999999999999,0.7999999999999999,1.2,-362.91,0.0964
108,0.7999999999999999,0.8999999999999999,0.9,-40.17,0.1127
109,0.7999999999999999,0.8999999999999999,1.0,-198.73,0.1034
110,0.7999999999999999,0.8999999999999999,1.1,-357.3,0.0953
111,0.7999999999999999,0.8999999999999999,1.2,-515.86,0.0883
112,0.7999999999999999,0.9999999999999999,0.9,-193.12,0.1027
113,0.7999999999999999,0.9999999999999999,1.0,-351.68,0.0941
114,0.7999999999999999,0.9999999999999999,1.1,-510.24,0.0866
115,0.7999999999999999,0.9999999999999999,1.2,-668.81,0.08
116,0.7999999999999999,1.0999999999999999,0.9,-346.06,0.0926
117,0.7999999999999999,1.0999999999999999,1.0,-504.63,0.0846
118,0.7999999999999999,1.0999999999999999,1.1,-663.19,0.0777
119,0.7999999999999999,1.0999999999999999,1.2,-821.76,0.0716
120,0.7999999999999999,1.1999999999999997,0.9,-499.01,0.0822
121,0.7999999999999999,1.1999999999999997,1.0,-657.58,0.0749
122,0.7999999999999999,1.1999999999999997,1.1,-816.14,0.0686
123,0.7999999999999999,1.1999999999999997,1.2,-974.71,0.063
124,0.7999999999999999,1.2999999999999998,0.9,-651.96,0.0717
125,0.7999999999999999,1.2999999999999998,1.0,-810.52,0.065
126,0.7999999999999999,1.2999999999999998,1.1,-969.09,0.0592
127,0.7999999999999999,1.2999999999999998,1.2,-1127.65,0.0541
128,0.7999999999999999,1.4,0.9,-804.91,0.0608
129,0.7999999999999999,1.4,1.0,-963.47,0.0547
130,0.7999999999999999,1.4,1.1,-1122.04,0.0495
131,0.7999999999999999,1.4,1.2,-1280.6,0.0448
132,0.8999999999999999,0.4,0.9,1119.31,0.1865
133,0.8999999999999999,0.4,1.0,960.75,0.1716
134,0.8999999999999999,0.4,1.1,802.19,0.159
135,0.8999999999999999,0.4,1.2,643.62,0.148
136,0.8999999999999999,0.5,0.9,966.37,0.1769
137,0.8999999999999999,0.5,1.0,807.8,0.1628
138,0.8999999999999999,0.5,1.1,649.24,0.1507
139,0.8999999999999999,0.5,1.2,490.67,0.1403
140,0.8999999999999999,0.6,0.9,813.42,0.1672
141,0.8999999999999999,0.6,1.0,654.85,0.1539
142,0.8999999999999999,0.6,1.1,496.29,0.1425
143,0.8999999999999999,0.6,1.2,337.72,0.1326
144,0.8999999999999999,0.7,0.9,660.47,0.1575
145,0.8999999999999999,0.7,1.0,501.91,0.1449
146,0.8999999999999999,0.7,1.1,343.34,0.1341
147,0.8999999999999999,0.7,1.2,184.78,0.1248
148,0.8999999999999999,0.7999999999999999,0.9,507.52,0.1478
149,0.8999999999999999,0.7999999999999999,1.0,348.96,0.136
150,0.8999999999999999,0.7999999999999999,1.1,190.39,0.1258
151,0.8999999999999999,0.7999999999999999,1.2,31.83,0.117
152,0.8999999999999999,0.8999999999999999,0.9,354.57,0.1381
153,0.8999999999999999,0.8999999999999999,1.0,196.01,0.127
154,0.8999999999999999,0.8999999999999999,1.1,37.44,0.1174
155,0.8999999999999999,0.8999999999999999,1.2,-121.12,0.1091
156,0.8999999999999999,0.9999999999999999,0.9,201.62,0.1283
157,0.8999999999999999,0.9999999999999999,1.0,43.06,0.1179
158,0.8999999999999999,0.9999999999999999,1.1,-115.5,0.1089
159,0.8999999999999999,0.9999999999999999,1.2,-274.07,0.1011
160,0.8999999999999999,1.0999999999999999,0.9,48.68,0.1185
161,0.8999999999999999,1.0999999999999999,1.0,-109.89,0.1087
162,0.8999999999999999,1.0999999999999999,1.1,-268.45,0.1003
163,0.8999999999999999,1.0999999999999999,1.2,-427.02,0.093
164,0.8999999999999999,1.1999999999999997,0.9,-104.27,0.1085
165,0.8999999999999999,1.1999999999999997,1.0,-262.84,0.0995
166,0.8999999999999999,1.1999999999999997,1.1,-421.4,0.0917
167,0.8999999999999999,1.1999999999999997,1.2,-579.97,0.0849
168,0.8999999999999999,1.2999999999999998,0.9,-257.22,0.0985
169,0.8999999999999999,1.2999999999999998,1.0,-415.78,0.0901
170,0.8999999999999999,1.2999999999999998,1.1,-574.35,0.0829
171,0.8999999999999999,1.2999999999999998,1.2,-732.91,0.0765
172,0.8999999999999999,1.4,0.9,-410.17,0.0883
173,0.8999999999999999,1.4,1.0,-568.73,0.0806
174,0.8999999999999999,1.4,1.1,-727.3,0.0739
175,0.8999999999999999,1.4,1.2,-885.86,0.068
176,0.9999999999999999,0.4,0.9,1514.06,0.2113
177,0.9999999999999999,0.4,1.0,1355.49,0.1945
178,0.9999999999999999,0.4,1.1,1196.93,0.1802
179,0.9999999999999999,0.4,1.2,1038.36,0.1678
180,0.9999999999999999,0.5,0.9,1361.11,0.2017
181,0.9999999999999999,0.5,1.0,1202.54,0.1857
182,0.9999999999999999,0.5,1.1,1043.98,0.172
183,0.9999999999999999,0.5,1.2,885.41,0.1602
184,0.9999999999999999,0.6,0.9,1208.16,0.1921
185,0.9999999999999999,0.6,1.0,1049.59,0.1768
186,0.9999999999999999,0.6,1.1,891.03,0.1638
187,0.9999999999999999,0.6,1.2,732.46,0.1525
188,0.9999999999999999,0.7,0.9,1055.21,0.1824
189,0.9999999999999999,0.7,1.0,896.65,0.1679
190,0.9999999999999999,0.7,1.1,738.08,0.1555
191,0.9999999999999999,0.7,1.2,579.52,0.1448
192,0.9999999999999999,0.7999999999999999,0.9,902.26,0.1728
193,0.9999999999999999,0.7999999999999999,1.0,743.7,0.159
194,0.9999999999999999,0.7999999999999999,1.1,585.13,0.1473
195,0.9999999999999999,0.7999999999999999,1.2,426.57,0.1371
196,0.9999999999999999,0.8999999999999999,0.9,749.31,0.1632
197,0.9999999999999999,0.8999999999999999,1.0,590.75,0.1501
198,0.9999999999999999,0.8999999999999999,1.1,432.18,0.139
199,0.9999999999999999,0.8999999999999999,1.2,273.62,0.1293
200,0.9999999999999999,0.9999999999999999,0.9,596.37,0.1535
201,0.9999999999999999,0.9999999999999999,1.0,437.8,0.1412
202,0.9999999999999999,0.9999999999999999,1.1,279.24,0.1306
203,0.9999999999999999,0.9999999999999999,1.2,120.67,0.1215
204,0.9999999999999999,1.0999999999999999,0.9,443.42,0.1438
205,0.9999999999999999,1.0999999999999999,1.0,284.85,0.1322
206,0.9999999999999999,1.0999999999999999,1.1,126.29,0.1223
207,0.9999999999999999,1.0999999999999999,1.2,-32.28,0.1137
208,0.9999999999999999,1.1999999999999997,0.9,290.47,0.134
209,0.9999999999999999,1.1999999999999997,1.0,131.9,0.1232
210,0.9999999999999999,1.1999999999999997,1.1,-26.66,0.1138
211,0.9999999999999999,1.1999999999999997,1.2,-185.23,0.1057
212,0.9999999999999999,1.2999999999999998,0.9,137.52,0.1242
213,0.9999999999999999,1.2999999999999998,1.0,-21.04,0.1141
214,0.9999999999999999,1.2999999999999998,1.1,-179.61,0.1053
215,0.9999999999999999,1.2999999999999998,1.2,-338.17,0.0977
216,0.9999999999999999,1.4,0.9,-15.43,0.1143
217,0.9999999999999999,1.4,1.0,-173.99,0.1049
218,0.9999999999999999,1.4,1.1,-332.56,0.0967
219,0.9999999999999999,1.4,1.2,-491.12,0.0896
220,1.0999999999999999,0.4,0.9,1908.8,0.236
221,1.0999999999999999,0.4,1.0,1750.23,0.2173
222,1.0999999999999999,0.4,1.1,1591.67,0.2013
223,1.0999999999999999,0.4,1.2,1433.1,0.1875
224,1.0999999999999999,0.5,0.9,1755.85,0.2264
225,1.0999999999999999,0.5,1.0,1597.28,0.2085
226,1.0999999999999999,0.5,1.1,1438.72,0.1931
227,1.0999999999999999,0.5,1.2,1280.15,0.1799
228,1.0999999999999999,0.6,0.9,1602.9,0.2169
229,1.0999999999999999,0.6,1.0,1444.33,0.1996
230,1.0999999999999999,0.6,1.1,1285.77,0.1849
231,1.0999999999999999,0.6,1.2,1127.2,0.1723
232,1.0999999999999999,0.7,0.9,1449.95,0.2073
233,1.0999999999999999,0.7,1.0,1291.39,0.1908
234,1.0999999999999999,0.7,1.1,1132.82,0.1767
235,1.0999999999999999,0.7,1.2,974.26,0.1646
236,1.0999999999999999,0.7999999999999999,0.9,1297.0,0.1977
237,1.0999999999999999,0.7999999999999999,1.0,1138.44,0.1819
238,1.0999999999999999,0.7999999999999999,1.1,979.87,0.1685
239,1.0999999999999999,0.7999999999999999,1.2,821.31,0.157
240,1.0999999999999999,0.8999999999999999,0.9,1144.05,0.188
241,1.0999999999999999,0.8999999999999999,1.0,985.49,0.1731
242,1.0999999999999999,0.8999999999999999,1.1,826.92,0.1603
243,1.0999999999999999,0.8999999999999999,1.2,668.36,0.1493
244,1.0999999999999999,0.9999999999999999,0.9,991.11,0.1784
245,1.0999999999999999,0.9999999999999999,1.0,832.54,0.1642
246,1.0999999999999999,0.9999999999999999,1.1,673.98,0.1521
247,1.0999999999999999,0.9999999999999999,1.2,515.41,0.1416
248,1.0999999999999999,1.0999999999999999,0.9,838.16,0.1688
249,1.0999999999999999,1.0999999999999999,1.0,679.59,0.1553
250,1.0999999999999999,1.0999999999999999,1.1,521.03,0.1438
251,1.0999999999999999,1.0999999999999999,1.2,362.46,0.1338
252,1.0999999999999999,1.1999999999999997,0.9,685.21,0.1591
253,1.0999999999999999,1.1999999999999997,1.0,526.64,0.1464
254,1.0999999999999999,1.1999999999999997,1.1,368.08,0.1355
255,1.0999999999999999,1.1999999999999997,1.2,209.51,0.126
256,1.0999999999999999,1.2999999999999998,0.9,532.26,0.1494
257,1.0999999999999999,1.2999999999999998,1.0,373.7,0.1374
258,1.0999999999999999,1.2999999999999998,1.1,215.13,0.1271
259,1.0999999999999999,1.2999999999999998,1.2,56.57,0.1182
260,1.0999999999999999,1.4,0.9,379.31,0.1397
261,1.0999999999999999,1.4,1.0,220.75,0.1284
262,1.0999999999999999,1.4,1.1,62.18,0.1187
263,1.0999999999999999,1.4,1.2,-96.38,0.1103
264,1.1999999999999997,0.4,0.9,2303.54,0.2608
265,1.1999999999999997,0.4,1.0,2144.97,0.24
