,R_AdjustFact,E_AdjustFact,FCI_AdjustFact,NPV,IRR
hydrogen_min,0.6,1.0,1.0,-1141.16,0.0422
hydrogen_max,3.3999999999999995,1.0,1.0,9911.56,0.6872
natgas_min,1.0,1.4,1.0,-173.99,0.1049
natgas_max,1.0,0.4,1.0,1355.49,0.1945
helium_min,1.0,1.1,1.1,126.29,0.1223
helium_max,1.0,1.0,1.0,437.8,0.1412
triso_min,1.0,1.0,1.0,437.8,0.1412
triso_max,1.0,1.0,1.0,437.8,0.1412
fci_decommissioning_min,1.0,1.0,1.1,279.24,0.1306
fci_decommissioning_max,1.0,1.0,0.9,596.37,0.1535
combined_min,0.6,1.4,1.2,-2070.08,-0.0157
combined_max,3.3999999999999995,0.4,0.9,10987.82,0.8044
