Neutron Flux,Node 1,,0.001225062
Concentration,Node 1,Group 1,0.001225062
Concentration,Node 1,Group 2,0.001225062
Concentration,Node 1,Group 3,0.001225062
Concentration,Node 1,Group 4,0.001225062
Concentration,Node 1,Group 5,0.001225062
Concentration,Node 1,Group 6,0.001225062
Temperature - Fuel Element,Node 1,,254.20369649999998
Temperature - Helium,Node 1,,254.14280180000003
Temperature - Reflector,,,254.17263849999998
Temperature - Riser,,,254.019176
Temperature - Lower Header,,,252.9
Temperature - Outer Header,,,768.2574405
Mass Flow Rate - Helium,Node 1,,145.0
Mass Flow Rate - Riser ,,,145.0
Reactivity,Node 1,,-0.009518975
Control Rod Position,,,6.695444779
