,R_AdjustFact,E_AdjustFact,FCI_AdjustFact,NPV,IRR
0,1.0,0.9,1.0,194.66,0.1298
1,1.0,1.0,1.0,146.0,0.1262
2,1.0,1.1,1.0,97.35,0.1226
