YEAR,REVENUE,EXPENSE,FCI,WC+L,OC+SU,d,Profit_before_tax,Tax,Cash_Flow
0,0.0,0.0,-1284.16,-211.2,-102.72999999999999,0.0,0.0,0.0,-1598.0900000000001
1,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
2,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
3,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
4,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
5,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
6,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
7,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
8,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
9,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
10,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
11,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
12,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
13,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
14,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
15,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
16,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
17,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
18,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
19,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
20,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
21,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
22,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
23,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
24,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
25,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
26,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
27,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
28,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
29,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
30,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
31,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
32,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
33,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
34,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
35,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
36,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
37,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
38,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
39,529.9415280000001,-205.25,0.0,0.0,0.0,32.104,292.5875280000001,-38.03637864000001,286.65514936000005
40,529.9415280000001,-205.25,0.0,211.2,0.0,32.104,292.5875280000001,-38.03637864000001,497.8551493600001
