,R_AdjustFact,E_AdjustFact,FCI_AdjustFact,NPV,IRR
0,0.6,0.6,0.9,16.3,0.1167
1,0.6,0.6,1.0,-108.55,0.1071
2,0.6,0.6,1.1,-233.39,0.0988
3,0.6,0.6,1.2,-358.23,0.0916
4,0.6,0.7,0.9,-136.59,0.104
5,0.6,0.7,1.0,-261.43,0.0953
6,0.6,0.7,1.1,-386.27,0.0877
7,0.6,0.7,1.2,-511.12,0.0811
8,0.6,0.7999999999999999,0.9,-289.47,0.0911
9,0.6,0.7999999999999999,1.0,-414.32,0.0832
10,0.6,0.7999999999999999,1.1,-539.16,0.0764
11,0.6,0.7999999999999999,1.2,-664.0,0.0704
12,0.6,0.8999999999999999,0.9,-442.36,0.0779
13,0.6,0.8999999999999999,1.0,-567.2,0.0709
14,0.6,0.8999999999999999,1.1,-692.05,0.0648
15,0.6,0.8999999999999999,1.2,-816.89,0.0594
16,0.6,0.9999999999999999,0.9,-595.25,0.0643
17,0.6,0.9999999999999999,1.0,-720.09,0.0581
18,0.6,0.9999999999999999,1.1,-844.93,0.0526
19,0.6,0.9999999999999999,1.2,-969.77,0.0478
20,0.6,1.0999999999999999,0.9,-748.13,0.05
21,0.6,1.0999999999999999,1.0,-872.97,0.0446
22,0.6,1.0999999999999999,1.1,-997.82,0.0398
23,0.6,1.0999999999999999,1.2,-1122.66,0.0356
24,0.6,1.1999999999999997,0.9,-901.02,0.0348
25,0.6,1.1999999999999997,1.0,-1025.86,0.0302
26,0.6,1.1999999999999997,1.1,-1150.7,0.0261
27,0.6,1.1999999999999997,1.2,-1275.54,0.0224
28,0.6,1.2999999999999998,0.9,-1053.9,0.018
29,0.6,1.2999999999999998,1.0,-1178.74,0.0142
30,0.6,1.2999999999999998,1.1,-1303.59,0.0108
31,0.6,1.2999999999999998,1.2,-1428.43,0.0077
32,0.6,1.4,0.9,-1206.79,-0.0013
33,0.6,1.4,1.0,-1331.63,-0.0043
34,0.6,1.4,1.1,-1456.47,-0.007
35,0.6,1.4,1.2,-1581.32,-0.0094
36,0.7,0.6,0.9,411.04,0.1488
37,0.7,0.6,1.0,286.19,0.1368
38,0.7,0.6,1.1,161.35,0.1266
39,0.7,0.6,1.2,36.51,0.1177
40,0.7,0.7,0.9,258.15,0.1364
41,0.7,0.7,1.0,133.31,0.1254
42,0.7,0.7,1.1,8.47,0.1159
43,0.7,0.7,1.2,-116.38,0.1077
44,0.7,0.7999999999999999,0.9,105.27,0.124
45,0.7,0.7999999999999999,1.0,-19.58,0.1138
46,0.7,0.7999999999999999,1.1,-144.42,0.1051
47,0.7,0.7999999999999999,1.2,-269.26,0.0975
48,0.7,0.8999999999999999,0.9,-47.62,0.1114
49,0.7,0.8999999999999999,1.0,-172.46,0.1021
50,0.7,0.8999999999999999,1.1,-297.31,0.0942
51,0.7,0.8999999999999999,1.2,-422.15,0.0872
52,0.7,0.9999999999999999,0.9,-200.51,0.0986
53,0.7,0.9999999999999999,1.0,-325.35,0.0903
54,0.7,0.9999999999999999,1.1,-450.19,0.083
55,0.7,0.9999999999999999,1.2,-575.03,0.0767
56,0.7,1.0999999999999999,0.9,-353.39,0.0857
57,0.7,1.0999999999999999,1.0,-478.23,0.0781
58,0.7,1.0999999999999999,1.1,-603.08,0.0716
59,0.7,1.0999999999999999,1.2,-727.92,0.0659
60,0.7,1.1999999999999997,0.9,-506.28,0.0723
61,0.7,1.1999999999999997,1.0,-631.12,0.0656
62,0.7,1.1999999999999997,1.1,-755.96,0.0598
63,0.7,1.1999999999999997,1.2,-880.8,0.0546
64,0.7,1.2999999999999998,0.9,-659.16,0.0584
65,0.7,1.2999999999999998,1.0,-784.0,0.0526
66,0.7,1.2999999999999998,1.1,-908.85,0.0474
67,0.7,1.2999999999999998,1.2,-1033.69,0.0428
68,0.7,1.4,0.9,-812.05,0.0438
69,0.7,1.4,1.0,-936.89,0.0387
70,0.7,1.4,1.1,-1061.73,0.0342
71,0.7,1.4,1.2,-1186.58,0.0302
72,0.7999999999999999,0.6,0.9,805.78,0.1804
73,0.7999999999999999,0.6,1.0,680.93,0.1661
74,0.7999999999999999,0.6,1.1,556.09,0.1538
75,0.7999999999999999,0.6,1.2,431.25,0.1432
76,0.7999999999999999,0.7,0.9,652.89,0.1682
77,0.7999999999999999,0.7,1.0,528.05,0.1548
78,0.7999999999999999,0.7,1.1,403.21,0.1433
79,0.7999999999999999,0.7,1.2,278.36,0.1334
80,0.7999999999999999,0.7999999999999999,0.9,500.01,0.1559
81,0.7999999999999999,0.7999999999999999,1.0,375.16,0.1434
82,0.7999999999999999,0.7999999999999999,1.1,250.32,0.1327
83,0.7999999999999999,0.7999999999999999,1.2,125.48,0.1235
84,0.7999999999999999,0.8999999999999999,0.9,347.12,0.1436
85,0.7999999999999999,0.8999999999999999,1.0,222.28,0.132
86,0.7999999999999999,0.8999999999999999,1.1,97.43,0.1221
87,0.7999999999999999,0.8999999999999999,1.2,-27.41,0.1135
88,0.7999999999999999,0.9999999999999999,0.9,194.23,0.1312
89,0.7999999999999999,0.9999999999999999,1.0,69.39,0.1206
90,0.7999999999999999,0.9999999999999999,1.1,-55.45,0.1114
91,0.7999999999999999,0.9999999999999999,1.2,-180.29,0.1035
92,0.7999999999999999,1.0999999999999999,0.9,41.35,0.1187
93,0.7999999999999999,1.0999999999999999,1.0,-83.49,0.109
94,0.7999999999999999,1.0999999999999999,1.1,-208.34,0.1006
95,0.7999999999999999,1.0999999999999999,1.2,-333.18,0.0932
96,0.7999999999999999,1.1999999999999997,0.9,-111.54,0.1061
97,0.7999999999999999,1.1999999999999997,1.0,-236.38,0.0972
98,0.7999999999999999,1.1999999999999997,1.1,-361.22,0.0896
99,0.7999999999999999,1.1999999999999997,1.2,-486.06,0.0829
100,0.7999999999999999,1.2999999999999998,0.9,-264.42,0.0932
101,0.7999999999999999,1.2999999999999998,1.0,-389.26,0.0852
102,0.7999999999999999,1.2999999999999998,1.1,-514.11,0.0783
103,0.7999999999999999,1.2999999999999998,1.2,-638.95,0.0722
104,0.7999999999999999,1.4,0.9,-417.31,0.0801
105,0.7999999999999999,1.4,1.0,-542.15,0.073
106,0.7999999999999999,1.4,1.1,-666.99,0.0667
107,0.7999999999999999,1.4,1.2,-791.84,0.0612
108,0.8999999999999999,0.6,0.9,1200.52,0.2119
109,0.8999999999999999,0.6,1.0,1075.67,0.1951
110,0.8999999999999999,0.6,1.1,950.83,0.1807
111,0.8999999999999999,0.6,1.2,825.99,0.1683
112,0.8999999999999999,0.7,0.9,1047.63,0.1997
113,0.8999999999999999,0.7,1.0,922.79,0.1839
114,0.8999999999999999,0.7,1.1,797.95,0.1703
115,0.8999999999999999,0.7,1.2,673.1,0.1586
116,0.8999999999999999,0.7999999999999999,0.9,894.75,0.1875
117,0.8999999999999999,0.7999999999999999,1.0,769.9,0.1726
118,0.8999999999999999,0.7999999999999999,1.1,645.06,0.1599
119,0.8999999999999999,0.7999999999999999,1.2,520.22,0.1489
120,0.8999999999999999,0.8999999999999999,0.9,741.86,0.1753
121,0.8999999999999999,0.8999999999999999,1.0,617.02,0.1613
122,0.8999999999999999,0.8999999999999999,1.1,492.18,0.1494
123,0.8999999999999999,0.8999999999999999,1.2,367.33,0.1391
124,0.8999999999999999,0.9999999999999999,0.9,588.97,0.1631
125,0.8999999999999999,0.9999999999999999,1.0,464.13,0.15
126,0.8999999999999999,0.9999999999999999,1.1,339.29,0.1389
127,0.8999999999999999,0.9999999999999999,1.2,214.45,0.1292
128,0.8999999999999999,1.0999999999999999,0.9,436.09,0.1508
129,0.8999999999999999,1.0999999999999999,1.0,311.25,0.1387
130,0.8999999999999999,1.0999999999999999,1.1,186.4,0.1283
131,0.8999999999999999,1.0999999999999999,1.2,61.56,0.1193
132,0.8999999999999999,1.1999999999999997,0.9,283.2,0.1384
133,0.8999999999999999,1.1999999999999997,1.0,158.36,0.1273
134,0.8999999999999999,1.1999999999999997,1.1,33.52,0.1177
135,0.8999999999999999,1.1999999999999997,1.2,-91.32,0.1093
136,0.8999999999999999,1.2999999999999998,0.9,130.32,0.126
137,0.8999999999999999,1.2999999999999998,1.0,5.48,0.1157
138,0.8999999999999999,1.2999999999999998,1.1,-119.37,0.1069
139,0.8999999999999999,1.2999999999999998,1.2,-244.21,0.0992
140,0.8999999999999999,1.4,0.9,-22.57,0.1135
141,0.8999999999999999,1.4,1.0,-147.41,0.1041
142,0.8999999999999999,1.4,1.1,-272.25,0.096
143,0.8999999999999999,1.4,1.2,-397.1,0.0889
144,0.9999999999999999,0.6,0.9,1595.26,0.2433
145,0.9999999999999999,0.6,1.0,1470.41,0.224
146,0.9999999999999999,0.6,1.1,1345.57,0.2075
147,0.9999999999999999,0.6,1.2,1220.73,0.1933
148,0.9999999999999999,0.7,0.9,1442.37,0.2312
149,0.9999999999999999,0.7,1.0,1317.53,0.2128
150,0.9999999999999999,0.7,1.1,1192.69,0.1972
151,0.9999999999999999,0.7,1.2,1067.84,0.1837
152,0.9999999999999999,0.7999999999999999,0.9,1289.49,0.219
153,0.9999999999999999,0.7999999999999999,1.0,1164.64,0.2016
154,0.9999999999999999,0.7999999999999999,1.1,1039.8,0.1868
155,0.9999999999999999,0.7999999999999999,1.2,914.96,0.174
156,0.9999999999999999,0.8999999999999999,0.9,1136.6,0.2068
157,0.9999999999999999,0.8999999999999999,1.0,1011.76,0.1904
158,0.9999999999999999,0.8999999999999999,1.1,886.92,0.1764
159,0.9999999999999999,0.8999999999999999,1.2,762.07,0.1643
160,0.9999999999999999,0.9999999999999999,0.9,983.72,0.1946
161,0.9999999999999999,0.9999999999999999,1.0,858.87,0.1792
162,0.9999999999999999,0.9999999999999999,1.1,734.03,0.166
163,0.9999999999999999,0.9999999999999999,1.2,609.19,0.1545
164,0.9999999999999999,1.0999999999999999,0.9,830.83,0.1824
165,0.9999999999999999,1.0999999999999999,1.0,705.99,0.1679
166,0.9999999999999999,1.0999999999999999,1.1,581.14,0.1555
167,0.9999999999999999,1.0999999999999999,1.2,456.3,0.1448
168,0.9999999999999999,1.1999999999999997,0.9,677.94,0.1702
169,0.9999999999999999,1.1999999999999997,1.0,553.1,0.1566
170,0.9999999999999999,1.1999999999999997,1.1,428.26,0.145
171,0.9999999999999999,1.1999999999999997,1.2,303.42,0.135
172,0.9999999999999999,1.2999999999999998,0.9,525.06,0.1579
173,0.9999999999999999,1.2999999999999998,1.0,400.22,0.1453
174,0.9999999999999999,1.2999999999999998,1.1,275.37,0.1345
175,0.9999999999999999,1.2999999999999998,1.2,150.53,0.1251
176,0.9999999999999999,1.4,0.9,372.17,0.1456
177,0.9999999999999999,1.4,1.0,247.33,0.1339
178,0.9999999999999999,1.4,1.1,122.49,0.1239
179,0.9999999999999999,1.4,1.2,-2.36,0.1152
180,1.0999999999999999,0.6,0.9,1990.0,0.2747
181,1.0999999999999999,0.6,1.0,1865.15,0.2529
182,1.0999999999999999,0.6,1.1,1740.31,0.2343
183,1.0999999999999999,0.6,1.2,1615.47,0.2183
184,1.0999999999999999,0.7,0.9,1837.11,0.2626
185,1.0999999999999999,0.7,1.0,1712.27,0.2417
186,1.0999999999999999,0.7,1.1,1587.43,0.2239
187,1.0999999999999999,0.7,1.2,1462.58,0.2086
188,1.0999999999999999,0.7999999999999999,0.9,1684.23,0.2504
189,1.0999999999999999,0.7999999999999999,1.0,1559.38,0.2305
190,1.0999999999999999,0.7999999999999999,1.1,1434.54,0.2136
191,1.0999999999999999,0.7999999999999999,1.2,1309.7,0.199
192,1.0999999999999999,0.8999999999999999,0.9,1531.34,0.2382
193,1.0999999999999999,0.8999999999999999,1.0,1406.5,0.2193
194,1.0999999999999999,0.8999999999999999,1.1,1281.66,0.2032
195,1.0999999999999999,0.8999999999999999,1.2,1156.81,0.1893
196,1.0999999999999999,0.9999999999999999,0.9,1378.46,0.2261
197,1.0999999999999999,0.9999999999999999,1.0,1253.61,0.2081
198,1.0999999999999999,0.9999999999999999,1.1,1128.77,0.1928
199,1.0999999999999999,0.9999999999999999,1.2,1003.93,0.1796
200,1.0999999999999999,1.0999999999999999,0.9,1225.57,0.2139
201,1.0999999999999999,1.0999999999999999,1.0,1100.73,0.1969
202,1.0999999999999999,1.0999999999999999,1.1,975.88,0.1824
203,1.0999999999999999,1.0999999999999999,1.2,851.04,0.1699
204,1.0999999999999999,1.1999999999999997,0.9,1072.68,0.2017
205,1.0999999999999999,1.1999999999999997,1.0,947.84,0.1857
