YEAR,REVENUE,EXPENSE,FCI,WC+L,OC+SU,d,Profit_before_tax,Tax,Cash_Flow
0,0.0,0.0,-1632.48,-267.62,-130.59,0.0,0.0,0.0,-2030.6899999999998
1,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
2,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
3,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
4,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
5,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
6,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
7,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
8,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
9,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
10,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
11,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
12,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
13,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
14,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
15,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
16,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
17,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
18,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
19,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
20,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
21,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
22,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
23,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
24,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
25,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
26,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
27,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
28,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
29,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
30,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
31,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
32,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
33,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
34,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
35,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
36,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
37,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
38,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
39,529.9415280000001,-205.25,0.0,0.0,0.0,40.812,283.87952800000005,-36.904338640000006,287.78718936000007
40,529.9415280000001,-205.25,0.0,267.62,0.0,40.812,283.87952800000005,-36.904338640000006,555.4071893600001
