YEAR,CASHFLOW,DISCOUNTED_CASHFLOW,CUMULATIVE_CASHFLOW
0,-1585.2835280000002,-1585.2835280000002,-1585.2835280000002
1,205.32552792125003,184.09665377356598,-1401.1868742264342
2,205.32552792125003,165.06266061384684,-1236.1242136125873
3,205.32552792125003,147.99661683385867,-1088.1275967787285
4,205.32552792125003,132.69505358034058,-955.432543198388
5,205.32552792125003,118.97553891016449,-836.4570042882235
6,205.32552792125003,106.67450275675704,-729.7825015314664
7,205.32552792125003,95.64528677608016,-634.1372147553863
8,205.32552792125003,85.75639582157932,-548.380818933807
9,205.32552792125003,76.88993020141778,-471.4908887323892
10,205.32552792125003,68.94018002667988,-402.5507087057093
11,205.32552792125003,61.81236489174749,-340.7383438139618
12,205.32552792125003,55.421503860765945,-285.3168399531959
13,205.32552792125003,49.69140228768327,-235.6254376655126
14,205.32552792125003,44.55374339028714,-191.07169427522547
15,205.32552792125003,39.94727374758702,-151.12442052763845
16,205.32552792125003,35.81707300968432,-115.30734751795413
17,205.32552792125003,32.11389911329174,-83.19344840466239
18,205.32552792125003,28.793601196274007,-54.39984720838838
19,205.32552792125003,25.81659321172011,-28.58325399666827
20,205.32552792125003,23.147381965743136,-5.4358720309251325
21,205.32552792125003,20.754143952067604,15.318271921142472
22,205.32552792125003,18.608345938240788,33.926617859383256
23,205.32552792125003,16.6844047799305,50.61102263931376
24,205.32552792125003,14.95938240746638,65.57040504678014
25,205.32552792125003,13.412712348120506,78.98311739490065
26,205.32552792125003,12.025954523606133,91.00907191850678
27,205.32552792125003,10.782575399382853,101.79164731788963
28,205.32552792125003,9.667750864611879,111.4593981825015
29,205.32552792125003,8.668189492609832,120.12758767511133
30,205.32552792125003,7.77197407463478,127.89956174974611
31,205.32552792125003,6.968419537700801,134.86798128744692
32,205.32552792125003,6.24794555245504,141.11592683990196
33,205.32552792125003,5.601962312292514,146.71788915219446
34,205.32552792125003,5.022768121917226,151.7406572741117
35,205.32552792125003,4.503457574355523,156.24411484846723
36,205.32552792125003,4.0378392216678085,160.28195407013504
37,205.32552792125003,3.6203617577927623,163.9023158279278
38,205.32552792125003,3.2460478334435803,167.14836366137138
39,205.32552792125003,2.9104347139684132,170.0587983753398
40,414.85300492125,5.272445513051445,175.33124388839124
